url_length,num_dots,has_ip,suspicious_words,https,label
13,1,0,0,0,0
19,1,0,0,0,0
74,2,0,0,1,1
22,1,0,0,0,0
28,3,1,0,0,1
22,2,0,0,0,0
18,1,0,0,0,0
25,1,0,0,0,0
20,1,0,0,0,0
29,1,0,0,0,0
13,1,0,0,0,0
21,1,0,0,0,0
27,2,0,0,0,0
34,4,1,0,0,1
34,4,1,0,0,1
18,1,0,0,0,0
25,3,1,0,0,1
31,4,1,0,0,1
30,3,1,0,0,1
20,1,0,0,0,0
15,1,0,0,0,0
49,4,1,0,0,1
16,2,0,0,0,0
19,1,0,0,0,0
20,1,0,0,0,0
20,1,0,0,0,0
21,1,0,0,0,0
28,3,1,0,0,1
26,1,0,0,0,0
16,1,0,0,0,0
22,1,0,0,0,0
47,2,0,0,0,1
33,4,1,0,0,1
27,3,1,0,0,1
39,3,0,0,0,1
80,2,0,0,0,1
32,4,1,0,0,1
27,3,1,0,0,1
23,1,0,0,0,0
32,4,1,0,0,1
60,2,0,0,0,1
36,4,1,0,0,1
23,1,0,0,0,0
35,1,0,0,0,0
35,5,1,0,0,1
15,1,0,0,0,0
34,4,1,0,0,1
41,4,1,0,0,1
49,4,1,0,0,1
14,1,0,0,0,0
20,1,0,0,0,0
34,4,1,0,0,1
33,4,1,0,0,1
21,2,0,0,0,0
27,3,1,0,0,1
63,3,0,0,0,1
29,3,1,0,0,1
34,4,1,0,0,1
35,1,0,0,0,0
33,4,1,0,0,1
33,4,1,0,0,1
31,1,0,0,0,0
45,3,0,0,0,1
27,1,0,0,0,0
18,1,0,0,0,0
28,3,1,0,0,1
25,4,1,0,0,1
22,1,0,0,0,0
15,1,0,0,0,0
35,2,0,0,1,1
29,3,1,0,0,1
36,1,0,0,0,0
28,4,1,0,0,1
23,1,0,0,0,0
40,3,0,0,1,1
31,2,0,0,0,1
18,1,0,0,0,0
19,1,0,0,0,0
27,3,1,0,0,1
21,1,0,0,0,0
35,4,1,0,0,1
18,1,0,0,0,0
25,2,0,0,0,0
29,3,1,0,0,1
22,1,0,0,0,0
45,3,0,0,1,1
13,1,0,0,0,0
74,3,0,0,1,1
16,1,0,0,0,0
45,3,0,0,1,1
19,1,0,0,0,0
26,3,1,0,0,1
30,3,1,0,0,1
30,2,0,0,0,1
15,1,0,0,0,0
34,4,1,0,0,1
21,1,0,0,0,0
17,1,0,0,0,0
17,1,0,0,0,0
21,2,0,0,0,0
31,4,1,0,0,1
35,4,1,0,0,1
34,4,1,0,0,1
23,1,0,0,0,0
12,1,0,0,0,0
34,4,1,0,0,1
26,3,1,0,0,1
21,1,0,0,0,0
16,1,0,0,0,0
18,2,0,0,0,0
28,3,1,0,0,1
28,1,0,0,0,0
18,1,0,0,0,0
32,4,1,0,0,1
25,3,1,0,0,1
17,1,0,0,0,0
14,1,0,0,0,0
17,1,0,0,0,0
28,3,1,0,0,1
15,1,0,0,0,0
28,3,1,0,0,1
23,3,1,0,0,1
33,4,1,0,0,1
25,3,1,0,0,1
28,3,1,0,0,1
13,1,0,0,0,0
32,6,1,0,0,1
15,1,0,0,0,0
42,1,0,0,0,1
30,4,1,0,0,1
18,1,0,0,0,0
28,3,1,0,0,1
17,1,0,0,0,0
30,3,1,0,0,1
25,1,0,0,0,0
15,1,0,0,0,0
32,4,1,0,0,1
29,3,1,0,0,1
28,3,1,0,0,1
31,2,0,0,0,1
49,4,1,0,0,1
30,4,1,0,0,1
26,3,1,0,0,1
27,3,1,0,0,1
29,1,0,0,0,0
31,3,0,0,1,1
14,1,0,0,0,0
19,1,0,0,0,0
30,2,0,0,0,0
14,1,0,0,0,0
29,3,1,0,0,1
17,2,0,0,0,0
34,4,1,0,0,1
26,4,1,0,0,1
15,1,0,0,0,0
25,3,1,0,0,1
59,3,0,0,0,1
30,3,1,0,0,1
34,4,1,0,0,1
33,4,1,0,0,1
29,1,0,0,0,0
19,1,0,0,0,0
18,1,0,0,0,0
89,3,0,0,1,1
20,1,0,0,0,0
27,3,1,0,0,1
24,1,0,0,0,0
34,4,1,0,0,1
29,1,0,0,0,0
41,2,0,0,0,1
21,1,0,0,0,0
39,4,1,0,0,1
33,1,0,0,0,0
28,3,1,0,0,1
20,2,0,0,0,0
29,3,1,0,0,1
29,1,0,0,1,1
21,1,0,0,0,0
22,1,0,0,0,0
17,1,0,0,0,0
27,3,1,0,0,1
23,1,0,0,0,0
29,3,1,0,0,1
36,2,0,0,0,1
85,3,0,0,1,1
41,4,1,0,0,1
20,1,0,0,0,0
14,1,0,0,0,0
121,3,0,0,1,1
19,1,0,0,0,0
36,4,1,0,0,1
21,1,0,0,0,0
34,4,1,0,0,1
18,1,0,0,0,0
17,1,0,0,0,0
37,4,1,0,0,1
34,4,1,0,0,1
27,3,1,0,0,1
23,1,0,0,0,0
18,1,0,0,1,1
32,4,1,0,0,1
23,1,0,0,0,0
17,1,0,0,0,0
29,3,1,0,0,1
50,4,1,0,0,1
63,2,0,0,0,1
67,3,0,0,1,1
21,2,0,0,0,0
51,1,0,0,0,1
26,1,0,0,0,0
29,3,1,0,0,1
52,1,0,0,0,1
18,1,0,0,0,0
21,1,0,0,0,0
24,1,0,0,0,0
28,3,1,0,0,1
15,1,0,0,0,0
95,3,0,0,1,1
29,3,1,0,0,1
28,3,1,0,0,1
26,3,1,0,0,1
34,4,1,0,0,1
31,3,1,0,0,1
28,3,1,0,0,1
17,1,0,0,0,0
17,1,0,0,0,0
32,3,0,0,0,1
35,4,1,0,0,1
21,1,0,0,0,0
28,3,1,0,0,1
22,1,0,0,0,0
35,4,1,0,0,1
30,3,1,0,0,1
33,4,1,0,0,1
20,3,1,0,0,1
41,3,0,0,0,1
32,4,1,0,0,1
24,1,0,0,0,0
23,1,0,0,0,0
75,4,0,0,1,1
35,4,1,0,0,1
28,3,1,0,0,1
14,1,0,0,0,0
33,4,1,0,0,1
40,3,0,0,0,1
34,4,1,0,0,1
15,1,0,0,0,0
26,3,1,0,0,1
19,1,0,0,0,0
34,4,1,0,0,1
21,1,0,0,0,0
30,2,0,0,0,1
46,4,0,0,1,1
33,4,1,0,0,1
37,1,0,0,0,1
34,4,1,0,0,1
33,4,1,0,0,1
27,3,1,0,0,1
14,1,0,0,0,0
30,3,1,0,0,1
16,1,0,0,0,0
22,1,0,0,0,0
28,3,1,0,0,1
26,1,0,0,0,1
78,3,0,0,1,1
22,1,0,0,0,0
13,1,0,0,0,0
14,1,0,0,0,0
21,1,0,0,0,0
22,1,0,0,0,0
18,1,0,0,0,0
42,2,0,0,0,1
21,1,0,0,0,0
26,1,0,0,0,0
68,3,0,0,1,1
29,1,0,0,0,0
44,3,0,0,1,1
18,1,0,0,0,0
48,4,1,0,0,1
30,3,1,0,0,1
18,1,0,0,0,0
27,3,1,0,0,1
17,1,0,0,0,0
33,4,1,0,0,1
21,1,0,0,0,0
33,3,1,0,0,1
28,3,1,0,0,1
27,3,1,0,0,1
23,2,0,0,0,0
18,1,0,0,0,0
45,3,0,0,1,1
32,4,1,0,0,1
33,4,1,0,0,1
26,1,0,0,0,0
23,1,0,0,0,0
28,3,1,0,0,1
29,3,1,0,0,1
28,3,1,0,0,1
23,1,0,0,0,0
33,4,1,0,0,1
21,1,0,0,0,0
32,2,0,0,0,1
18,1,0,0,0,0
23,1,0,0,0,0
19,1,0,0,0,0
28,3,1,0,0,1
21,1,0,0,0,0
22,1,0,0,0,0
29,3,1,0,0,1
28,3,1,0,0,1
12,1,0,0,0,0
18,2,0,0,0,0
20,1,0,0,0,0
16,1,0,0,0,0
33,4,1,0,0,1
28,3,1,0,0,1
42,6,1,0,1,1
23,1,0,0,0,0
22,1,0,0,0,0
21,1,0,0,0,0
74,2,0,0,1,1
24,2,0,0,0,0
19,1,0,0,0,0
28,1,0,0,0,0
28,3,1,0,0,1
29,3,1,0,0,1
17,1,0,0,0,0
34,1,0,0,0,0
18,1,0,0,0,0
19,1,0,0,0,0
44,1,0,0,0,1
15,1,0,0,0,0
29,3,1,0,0,1
18,1,0,0,0,0
34,4,1,0,0,1
18,1,0,0,0,0
16,1,0,0,0,0
28,3,1,0,0,1
26,3,1,0,0,1
30,3,1,0,0,1
126,5,0,0,1,1
30,4,1,0,0,1
25,1,0,0,0,1
32,4,1,0,0,1
30,1,0,0,0,1
18,1,0,0,1,1
45,4,1,0,0,1
31,1,0,0,0,0
18,1,0,0,0,0
27,3,1,0,0,1
28,3,1,0,0,1
33,4,1,0,0,1
26,4,1,0,0,1
73,4,0,0,0,1
30,3,1,0,0,1
20,1,0,0,0,0
27,3,1,0,0,1
71,4,1,0,0,1
17,1,0,0,0,0
19,1,0,0,0,0
23,1,0,0,0,0
79,3,0,0,1,1
35,4,1,0,0,1
19,1,0,0,0,0
16,1,0,0,0,0
84,3,0,0,1,1
33,4,1,0,0,1
28,3,1,0,0,1
18,1,0,0,0,0
17,1,0,0,0,0
24,3,1,0,0,1
20,1,0,0,0,0
19,1,0,0,0,0
19,1,0,0,0,0
20,1,0,0,0,0
14,1,0,0,0,0
32,4,1,0,0,1
